,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
36,Senate,01/31/2022,15:00PM,18:49PM,229.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:49 p.m. until 10 a.m. on Tuesday February 1 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/1/31/daily-digest
37,House,01/31/2022,,,,NS,The House was not in session today. The House is scheduled to meet at 2 p.m. on Tuesday February 1 2022.No hearings were held.,https://www.congress.gov/congressional-record/2022/1/31/daily-digest
38,Senate,02/01/2022,10:00AM,20:59PM,659.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 8:59 p.m. until 10 a.m. on Wednesday February 2 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/1/daily-digest
39,House,02/01/2022,14:00PM,19:39PM,339.0,x,Adjournment: The House met at 2 p.m. and adjourned at 7:39 p.m. ,https://www.congress.gov/congressional-record/2022/2/1/daily-digest
40,Senate,02/02/2022,10:00AM,21:32PM,692.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 9:32 p.m. until 10 a.m. on Thursday February 3 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/2/daily-digest
41,House,02/02/2022,1900-01-01 10:00:00,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/2/2/daily-digest
42,Senate,02/03/2022,16:41PM,16:41PM,0.0,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/2/3/daily-digest
43,House,02/03/2022,12:00PM,19:42PM,462.0,x,Adjournment: The House met at 12 p.m. and adjourned at 7:42 p.m.   ,https://www.congress.gov/congressional-record/2022/2/3/daily-digest
44,Senate,02/04/2022,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday February 7 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/2/4/daily-digest
45,House,02/04/2022,09:00AM,13:09PM,249.0,x,Adjournment: The House met at 9 a.m. and adjourned at 1:09 p.m.      ,https://www.congress.gov/congressional-record/2022/2/4/daily-digest
46,Senate,02/07/2022,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/2/7/daily-digest
47,House,02/07/2022,12:00PM,21:52PM,592.0,x,Adjournment: The House met at 12 p.m. and adjourned at 9:52 p.m.  ,https://www.congress.gov/congressional-record/2022/2/7/daily-digest
48,Senate,02/08/2022,10:00AM,18:57PM,537.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:57 p.m. until 10 a.m. on Wednesday February 9 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/8/daily-digest
49,House,02/08/2022,10:00AM,20:19PM,619.0,x,Adjournment: The House met at 10 a.m. and adjourned at 8:19 p.m.   ,https://www.congress.gov/congressional-record/2022/2/8/daily-digest
50,Senate,02/09/2022,10:00AM,19:56PM,596.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:56 p.m. until 10 a.m. on Thursday February 10 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/9/daily-digest
51,House,02/09/2022,09:00AM,15:39PM,399.0,x,Adjournment:  The House met at 9 a.m. and adjourned at 3:39 p.m.   ,https://www.congress.gov/congressional-record/2022/2/9/daily-digest
52,Senate,02/10/2022,10:00AM,15:31PM,331.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 3:31 p.m. until 3 p.m. on Monday February 14 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/10/daily-digest
53,House,02/10/2022,,,,NS,The House was not in session today. The House is scheduled to meet at 11 a.m. on Friday February 11 2022.No hearings were held.,https://www.congress.gov/congressional-record/2022/2/10/daily-digest
54,Senate,02/11/2022,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday February 14 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/2/11/daily-digest
55,House,02/11/2022,11:00AM,11:06AM,6.0,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:06 a.m.  ,https://www.congress.gov/congressional-record/2022/2/11/daily-digest
56,Senate,02/14/2022,15:00PM,19:53PM,293.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 7:53 p.m. until 10 a.m. on Tuesday February 15 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/14/daily-digest
57,House,02/14/2022,,,,NS,The House was not in session today. The House is scheduled to meet at 10 a.m. on Tuesday February 15 2022.No hearings were held.,https://www.congress.gov/congressional-record/2022/2/14/daily-digest
58,Senate,02/15/2022,10:00AM,18:16PM,496.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:16 p.m. until 10 a.m. on Wednesday February 16 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/15/daily-digest
59,House,02/15/2022,10:00AM,10:03AM,3.0,pf,Adjournment: The House met at 10 a.m. and adjourned at 10:03 a.m. ,https://www.congress.gov/congressional-record/2022/2/15/daily-digest
60,Senate,02/16/2022,10:00AM,18:20PM,500.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:20 p.m. until 10:30 a.m. on Thursday February 17 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/16/daily-digest
61,House,02/16/2022,,,,NS,The House was not in session today. The House is scheduled to meet at 10 a.m. on Friday February 18 2022.Full Committee held a hearing entitled ``Why Congress Needs to Abolish the Debt Limit. Testimony was heard from public witnesses.  ,https://www.congress.gov/congressional-record/2022/2/16/daily-digest
62,Senate,02/17/2022,10:30AM,20:17PM,587.0,x,Adjournment: Senate convened at 10:30 a.m. and adjourned at 8:17 p.m. until 9 a.m. on Friday February 18 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/17/daily-digest
63,House,02/17/2022,,,,NS,The House was not in session today. The House is scheduled to meet at 10 a.m. on Friday February 18 2022. Subcommittee on Health Employment Labor and Pensions held a hearing entitled ``Exploring Pathways to Affordable Universal Health Coverage. Testimony was heard from public witnesses. ,https://www.congress.gov/congressional-record/2022/2/17/daily-digest
64,Senate,02/18/2022,,,,pf,The Senate met at 9:00:10 a.m. in pro forma session and adjourned at 9:00:43 a.m. until 3 p.m. on Tuesday February 22 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/2/18/daily-digest
65,House,02/18/2022,10:00AM,10:05AM,5.0,pf,Adjournment: The House met at 10 a.m. and adjourned at 10:05 a.m. ,https://www.congress.gov/congressional-record/2022/2/18/daily-digest
66,Senate,02/22/2022,,,,pf,The Senate met at 3 p.m. in pro forma session and adjourned at 3:00:35 p.m. until 2 p.m. on Friday February 25 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/2/22/daily-digest
67,House,02/22/2022,12:30PM,12:32PM,2.0,pf,Adjournment: The House met at 12:30 p.m. and adjourned at 12:32 p.m.  ,https://www.congress.gov/congressional-record/2022/2/22/daily-digest
68,Senate,02/25/2022,,,,pf,The Senate met at 2:03:20 p.m. in pro forma session and adjourned at 2:04:01 p.m. until 3 p.m. on Monday February 28 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/2/25/daily-digest
69,House,02/25/2022,12:30PM,12:34PM,4.0,pf,Adjournment: The House met at 12:30 p.m. and adjourned at 12:34 p.m. ,https://www.congress.gov/congressional-record/2022/2/25/daily-digest
70,Senate,02/28/2022,15:00PM,21:48PM,408.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 9:48 p.m. until 10:15 a.m. on Tuesday March 1 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/28/daily-digest
71,House,02/28/2022,14:00PM,19:54PM,354.0,x,Adjournment: The House met at 2 p.m. and adjourned at 7:54 p.m. pursuant to ,https://www.congress.gov/congressional-record/2022/2/28/daily-digest
72,Senate,03/01/2022,10:15AM,22:27PM,732.0,x,Adjournment: Senate convened at 10:15 a.m. and adjourned at 10:27 p.m. until 11 a.m. on Wednesday March 2 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/1/daily-digest
73,House,03/01/2022,10:00AM,22:28PM,748.0,x,Adjournment: The House met at 10 a.m. and adjourned at 10:28 p.m.   ,https://www.congress.gov/congressional-record/2022/3/1/daily-digest
74,Senate,03/02/2022,11:00AM,19:10PM,490.0,x,Adjournment: Senate convened at 11 a.m. and adjourned at 7:10 p.m. until 10 a.m. on Thursday March 3 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/2/daily-digest
75,House,03/02/2022,10:00AM,19:42PM,582.0,x,Adjournment: The House met at 10 a.m. and adjourned at 7:42 p.m.  ,https://www.congress.gov/congressional-record/2022/3/2/daily-digest
76,Senate,03/03/2022,10:00AM,15:43PM,343.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 3:43 p.m. until 3 p.m. on Monday March 7 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/3/daily-digest
77,House,03/03/2022,09:00AM,13:39PM,279.0,x,Adjournment: The House met at 9 a.m. and adjourned at 1:39 p.m.   ,https://www.congress.gov/congressional-record/2022/3/3/daily-digest
78,Senate,03/07/2022,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/3/7/daily-digest
79,House,03/07/2022,12:00PM,20:48PM,528.0,x,Adjournment: The House met at 12 p.m. and adjourned at 8:48 p.m. ,https://www.congress.gov/congressional-record/2022/3/7/daily-digest
80,Senate,03/08/2022,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/3/8/daily-digest
81,House,03/08/2022,10:00AM,00:30AM,-570.0,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/3/8/daily-digest
82,Senate,03/09/2022,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/3/9/daily-digest
83,House,03/09/2022,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/3/9/daily-digest
84,Senate,03/10/2022,10:00AM,22:27PM,747.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 10:27 p.m. until 3 p.m. on Monday March 14 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/10/daily-digest
85,House,03/10/2022,,,,NS,The House was not in session today. The House is scheduled to meet at 10 a.m. on Friday March 11 2022.No hearings were held.,https://www.congress.gov/congressional-record/2022/3/10/daily-digest
86,Senate,03/11/2022,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday March 14 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/3/11/daily-digest
87,House,03/11/2022,10:00AM,10:03AM,3.0,pf,Adjournment: The House met at 10 a.m. and adjourned at 10:03 a.m.  ,https://www.congress.gov/congressional-record/2022/3/11/daily-digest
88,Senate,03/14/2022,15:00PM,19:32PM,272.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 7:32 p.m. until 10 a.m. on Tuesday March 15 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/14/daily-digest
89,House,03/14/2022,,,,NS,The House was not in session today. The House is scheduled to meet at 12 p.m. on Tuesday March 15 2022.No hearings were held. ,https://www.congress.gov/congressional-record/2022/3/14/daily-digest
90,Senate,03/15/2022,10:00AM,19:54PM,594.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:54 p.m. until 10:30 a.m. on Wednesday March 16 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/15/daily-digest
91,House,03/15/2022,12:00PM,20:16PM,496.0,x,Adjournment:  The House met at 12 p.m. and adjourned at 8:16 p.m.   ,https://www.congress.gov/congressional-record/2022/3/15/daily-digest
92,Senate,03/16/2022,10:30AM,21:29PM,659.0,x,Adjournment: Senate convened at 10:30 a.m. and adjourned at 9:29 p.m. until 10 a.m. on Thursday March 17 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/16/daily-digest
93,House,03/16/2022,10:00AM,18:52PM,532.0,x,Adjournment: The House met at 10 a.m. and adjourned at 6:52 p.m. ,https://www.congress.gov/congressional-record/2022/3/16/daily-digest
94,Senate,03/17/2022,10:00AM,16:07PM,367.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 4:07 p.m. until 3 p.m. on Monday March 21 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on page ,https://www.congress.gov/congressional-record/2022/3/17/daily-digest
95,House,03/17/2022,10:00AM,18:46PM,526.0,x,Adjournment: The House met at 10 a.m. and adjourned at 6:46 p.m.   ,https://www.congress.gov/congressional-record/2022/3/17/daily-digest
96,Senate,03/18/2022,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday March 21 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/3/18/daily-digest
97,House,03/18/2022,09:00AM,12:17PM,197.0,x,Adjournment: The House met at 9 a.m. and adjourned at 12:17 p.m. ,https://www.congress.gov/congressional-record/2022/3/18/daily-digest
98,Senate,03/21/2022,15:03PM,18:58PM,235.0,x,Adjournment: Senate convened at 3:03 p.m. and adjourned at 6:58 p.m. until 10 a.m. on Tuesday March 22 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/21/daily-digest
99,House,03/21/2022,13:00PM,13:24PM,24.0,pf,Adjournment: The House met at 1 p.m. and adjourned at 1:24 p.m.  ,https://www.congress.gov/congressional-record/2022/3/21/daily-digest
100,Senate,03/22/2022,10:00AM,18:59PM,539.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:59 p.m. until 10 a.m. on Wednesday March 23 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/22/daily-digest
101,House,03/22/2022,,,,NS,The House was not in session today. The House is scheduled to meet at 1 p.m. on Thursday March 24 2022No hearings were held.,https://www.congress.gov/congressional-record/2022/3/22/daily-digest
102,Senate,03/23/2022,10:00AM,21:51PM,711.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 9:51 p.m. until 10 a.m. on Thursday March 24 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/23/daily-digest
103,House,03/23/2022,,,,NS,The House was not in session today. The House is scheduled to meet at 1 p.m. on Thursday March 24 2022.No hearings were held. ,https://www.congress.gov/congressional-record/2022/3/23/daily-digest
104,Senate,03/24/2022,10:00AM,16:19PM,379.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 4:19 p.m. until 3 p.m. on Monday March 28 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/24/daily-digest
105,House,03/24/2022,13:00PM,13:02PM,2.0,pf,Adjournment: The House met at 1 p.m. and adjourned at 1:02 p.m.   ,https://www.congress.gov/congressional-record/2022/3/24/daily-digest
106,Senate,03/28/2022,15:00PM,19:35PM,275.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 7:35 p.m. until 10 a.m. on Tuesday March 29 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/28/daily-digest
107,House,03/28/2022,14:00PM,19:33PM,333.0,x,Adjournment: The House met at 2 p.m. and adjourned at 7:33 p.m. pursuant to ,https://www.congress.gov/congressional-record/2022/3/28/daily-digest
108,Senate,03/29/2022,1900-01-01 10:00:00,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/3/29/daily-digest
109,House,03/29/2022,15:00PM,20:31PM,331.0,x,Adjournment: The House met at 3 p.m. and adjourned at 8:31 p.m.   ,https://www.congress.gov/congressional-record/2022/3/29/daily-digest
110,Senate,03/30/2022,10:00AM,22:34PM,754.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 10:34 p.m. until 10 a.m. on Thursday March 31 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/3/30/daily-digest
111,House,03/30/2022,10:00AM,16:36PM,396.0,x,Adjournment: The House met at 10 a.m. and adjourned at 4:36 p.m. ,https://www.congress.gov/congressional-record/2022/3/30/daily-digest
112,Senate,03/31/2022,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/3/31/daily-digest
113,House,03/31/2022,10:00AM,20:25PM,625.0,x,Adjournment: The House met at 10 a.m. and adjourned at 8:25 p.m. ,https://www.congress.gov/congressional-record/2022/3/31/daily-digest
114,Senate,04/01/2022,,,,NS,The Senate was not in session and stands in recess until 3 p.m. on Monday April 4 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/4/1/daily-digest
115,House,04/01/2022,09:00AM,14:26PM,326.0,x,Adjournment: The House met at 9 a.m. and adjourned at 2:26 p.m. ,https://www.congress.gov/congressional-record/2022/4/1/daily-digest
116,Senate,04/04/2022,15:00PM,19:46PM,286.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 7:46 p.m. until 10 a.m. on Tuesday April 5 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/4/4/daily-digest
117,House,04/04/2022,12:00PM,20:13PM,493.0,x,Adjournment: The House met at 12 p.m. and adjourned at 8:13 p.m. ,https://www.congress.gov/congressional-record/2022/4/4/daily-digest
118,Senate,04/05/2022,10:00AM,19:22PM,562.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:22 p.m. until 10 a.m. on Wednesday April 6 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/4/5/daily-digest
119,House,04/05/2022,10:00AM,17:08PM,428.0,x,Adjournment: The House met at 10 a.m. and adjourned at 5:08 p.m. ,https://www.congress.gov/congressional-record/2022/4/5/daily-digest
120,Senate,04/06/2022,10:00AM,21:35PM,695.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 9:35 p.m. until 9:30 a.m. on Thursday April 7 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/4/6/daily-digest
121,House,04/06/2022,10:00AM,21:01PM,661.0,x,Adjournment: The House met at 10 a.m. and adjourned at 9:01 p.m.   ,https://www.congress.gov/congressional-record/2022/4/6/daily-digest
122,Senate,04/07/2022,1900-01-01 09:30:00,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/4/7/daily-digest
123,House,04/07/2022,09:00AM,14:29PM,329.0,x,Adjournment:  The House met at 9 a.m. and adjourned at 2:29 p.m.    ,https://www.congress.gov/congressional-record/2022/4/7/daily-digest
124,Senate,04/11/2022,,,,pf,The Senate met at 11:30 a.m. in pro forma session and adjourned at 11:32 a.m. until 11 a.m. on Thursday April 14 2022.A unanimous-consent agreement was reached providing that the pro forma session scheduled for 4 p.m. on Monday April 18 2022 now be scheduled to occur at 12:30 p.m. on Monday April 18 2022; and that the pro forma session scheduled for 12 noon on Thursday April 21 2022 now be scheduled to occur at 8:45 a.m. on Thursday April 21 2022.,https://www.congress.gov/congressional-record/2022/4/11/daily-digest
125,House,04/11/2022,10:30AM,10:33AM,3.0,pf,Adjournment:The House met at 10:30 a.m. and adjourned at 10:33 a.m.,https://www.congress.gov/congressional-record/2022/4/11/daily-digest
126,Senate,04/14/2022,,,,pf,The Senate met at 11 a.m. in pro forma session and adjourned at 11:00:08 a.m. until 12:30 p.m. on Monday April 18 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/4/14/daily-digest
127,House,04/14/2022,13:00PM,13:03PM,3.0,pf,Adjournment: The House met at 1 p.m. and adjourned at 1:03 p.m.   ,https://www.congress.gov/congressional-record/2022/4/14/daily-digest
128,Senate,04/18/2022,,,,pf,The Senate met at 12:40:01 p.m. in pro forma session and adjourned at 12:40:30 p.m. until 8:45 a.m. on Thursday April 21 2022.––––––No committee meetings were held.,https://www.congress.gov/congressional-record/2022/4/18/daily-digest
129,House,04/18/2022,13:00PM,13:02PM,2.0,pf,Adjournment: The House met at 1 p.m. and adjourned at 1:02 p.m.   ,https://www.congress.gov/congressional-record/2022/4/18/daily-digest
130,Senate,04/21/2022,,,,pf,The Senate met at 8:57:50 a.m. in pro forma session and adjourned at 8:58:22 a.m. until 3 p.m. on Monday April 25 2022.––––––No committee meetings were held.,https://www.congress.gov/congressional-record/2022/4/21/daily-digest
131,House,04/21/2022,09:00AM,09:02AM,2.0,pf,Adjournment: The House met at 9 a.m. and adjourned at 9:02 a.m.  ,https://www.congress.gov/congressional-record/2022/4/21/daily-digest
132,Senate,04/25/2022,15:00PM,18:51PM,231.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:51 p.m. until 10 a.m. on Tuesday April 26 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/4/25/daily-digest
